"rules","support","confidence","lift","count"
"{butter} => {bread}",0.230769230769231,1,1.85714285714286,3
"{butter,egg} => {bread}",0.0769230769230769,1,1.85714285714286,1
"{butter,milk} => {bread}",0.0769230769230769,1,1.85714285714286,1
"{butter,papaya} => {bread}",0.0769230769230769,1,1.85714285714286,1
"{egg,papaya} => {oat packet}",0.0769230769230769,1,3.25,1
"{bread,oat packet} => {papaya}",0.153846153846154,1,2.16666666666667,2
"{egg,papaya} => {bread}",0.0769230769230769,1,1.85714285714286,1
"{egg,oat packet,papaya} => {bread}",0.0769230769230769,1,1.85714285714286,1
"{bread,egg,oat packet} => {papaya}",0.0769230769230769,1,2.16666666666667,1
"{bread,egg,papaya} => {oat packet}",0.0769230769230769,1,3.25,1
"{milk,oat packet,papaya} => {bread}",0.0769230769230769,1,1.85714285714286,1
"{bread,milk,oat packet} => {papaya}",0.0769230769230769,1,2.16666666666667,1
"{oat packet} => {papaya}",0.230769230769231,0.75,1.625,3
"{papaya} => {bread}",0.307692307692308,0.666666666666667,1.23809523809524,4
"{oat packet,papaya} => {bread}",0.153846153846154,0.666666666666667,1.23809523809524,2
"{milk,papaya} => {bread}",0.153846153846154,0.666666666666667,1.23809523809524,2
"{bread,milk} => {papaya}",0.153846153846154,0.666666666666667,1.44444444444444,2
"{egg} => {bread}",0.230769230769231,0.6,1.11428571428571,3
"{bread} => {papaya}",0.307692307692308,0.571428571428571,1.23809523809524,4
"{} => {bread}",0.538461538461538,0.538461538461538,1,7
"{oat packet} => {egg}",0.153846153846154,0.5,1.3,2
"{oat packet} => {milk}",0.153846153846154,0.5,1.08333333333333,2
"{papaya} => {oat packet}",0.230769230769231,0.5,1.625,3
"{oat packet} => {bread}",0.153846153846154,0.5,0.928571428571429,2
"{milk} => {papaya}",0.230769230769231,0.5,1.08333333333333,3
"{papaya} => {milk}",0.230769230769231,0.5,1.08333333333333,3
"{milk} => {bread}",0.230769230769231,0.5,0.928571428571429,3
"{egg,oat packet} => {milk}",0.0769230769230769,0.5,1.08333333333333,1
"{milk,oat packet} => {egg}",0.0769230769230769,0.5,1.3,1
"{egg,milk} => {oat packet}",0.0769230769230769,0.5,1.625,1
"{egg,oat packet} => {papaya}",0.0769230769230769,0.5,1.08333333333333,1
"{egg,oat packet} => {bread}",0.0769230769230769,0.5,0.928571428571429,1
"{bread,oat packet} => {egg}",0.0769230769230769,0.5,1.3,1
"{milk,oat packet} => {papaya}",0.0769230769230769,0.5,1.08333333333333,1
"{milk,oat packet} => {bread}",0.0769230769230769,0.5,0.928571428571429,1
"{bread,oat packet} => {milk}",0.0769230769230769,0.5,1.08333333333333,1
"{bread,papaya} => {oat packet}",0.153846153846154,0.5,1.625,2
"{bread,papaya} => {milk}",0.153846153846154,0.5,1.08333333333333,2
"{bread,oat packet,papaya} => {egg}",0.0769230769230769,0.5,1.3,1
"{bread,oat packet,papaya} => {milk}",0.0769230769230769,0.5,1.08333333333333,1
"{bread,milk,papaya} => {oat packet}",0.0769230769230769,0.5,1.625,1
"{} => {milk}",0.461538461538462,0.461538461538462,1,6
"{} => {papaya}",0.461538461538462,0.461538461538462,1,6
"{bread} => {butter}",0.230769230769231,0.428571428571429,1.85714285714286,3
"{bread} => {egg}",0.230769230769231,0.428571428571429,1.11428571428571,3
"{bread} => {milk}",0.230769230769231,0.428571428571429,0.928571428571428,3
"{egg} => {oat packet}",0.153846153846154,0.4,1.3,2
"{egg} => {milk}",0.153846153846154,0.4,0.866666666666667,2
"{} => {egg}",0.384615384615385,0.384615384615385,1,5
"{butter} => {egg}",0.0769230769230769,0.333333333333333,0.866666666666667,1
"{butter} => {milk}",0.0769230769230769,0.333333333333333,0.722222222222222,1
"{butter} => {papaya}",0.0769230769230769,0.333333333333333,0.722222222222222,1
"{milk} => {oat packet}",0.153846153846154,0.333333333333333,1.08333333333333,2
"{milk} => {egg}",0.153846153846154,0.333333333333333,0.866666666666667,2
"{bread,butter} => {egg}",0.0769230769230769,0.333333333333333,0.866666666666667,1
"{bread,egg} => {butter}",0.0769230769230769,0.333333333333333,1.44444444444444,1
"{bread,butter} => {milk}",0.0769230769230769,0.333333333333333,0.722222222222222,1
"{bread,milk} => {butter}",0.0769230769230769,0.333333333333333,1.44444444444444,1
"{bread,butter} => {papaya}",0.0769230769230769,0.333333333333333,0.722222222222222,1
"{oat packet,papaya} => {egg}",0.0769230769230769,0.333333333333333,0.866666666666667,1
"{bread,egg} => {oat packet}",0.0769230769230769,0.333333333333333,1.08333333333333,1
"{oat packet,papaya} => {milk}",0.0769230769230769,0.333333333333333,0.722222222222222,1
"{milk,papaya} => {oat packet}",0.0769230769230769,0.333333333333333,1.08333333333333,1
"{bread,milk} => {oat packet}",0.0769230769230769,0.333333333333333,1.08333333333333,1
"{bread,egg} => {papaya}",0.0769230769230769,0.333333333333333,0.722222222222222,1
"{} => {oat packet}",0.307692307692308,0.307692307692308,1,4
"{bread} => {oat packet}",0.153846153846154,0.285714285714286,0.928571428571428,2
"{bread,papaya} => {butter}",0.0769230769230769,0.25,1.08333333333333,1
"{bread,papaya} => {egg}",0.0769230769230769,0.25,0.65,1
"{} => {butter}",0.230769230769231,0.230769230769231,1,3
"{egg} => {butter}",0.0769230769230769,0.2,0.866666666666667,1
"{egg} => {papaya}",0.0769230769230769,0.2,0.433333333333333,1
"{milk} => {butter}",0.0769230769230769,0.166666666666667,0.722222222222222,1
"{papaya} => {butter}",0.0769230769230769,0.166666666666667,0.722222222222222,1
"{papaya} => {egg}",0.0769230769230769,0.166666666666667,0.433333333333333,1
